sesja;id;wtp_delay;wtp_risk;wtp_qual;wtp_legal;wtp_ilegal;PISF;Hip;imp_price;imp_delay;imp_qual;imp_legal;imp_qual;judge_good;judge_comf;judge_wise;judge_attr;judge_legal;judge_friends_ok;piracy_impp_ok;piracy_willing_yes;piracy_tech_diff;freq_cinema;freq_dvd;freq_movie_tv;freq_movie_int;freq_movie_il;sex;age;edu;rok_studiow;exp_count;siblings;pop_origin;income
5;553;-0.762989054123053;-14.0726321164156;2.14326174368139;6.5758153561399;6.01263722236405;1;1;1;5;3;4;2;2;5;3;3;3;5;4;5;1;3;1;5;3;4;1;21;1;2;0;1;5;4
5;554;-3.27748756902822;-16.2065308751561;13.3634714028735;11.2465534983465;10.5473555218652;1;1;3;5;2;4;1;3;5;3;4;1;5;5;3;1;3;1;5;1;4;2;20;1;2;2;1;5;5
5;555;-2.2619207954419;-15.6812259549226;17.7044966124622;43.9256205606273;36.1587019025256;1;1;3;5;4;2;1;1;5;2;3;1;5;3;2;1;2;1;3;4;2;2;21;1;2;3;2;1;8
5;556;-0.497751288420896;-39.224722850469;3.39216195172593;22.3857105780283;20.6388343035112;1;1;4;5;1;3;2;4;5;4;4;1;5;4;4;1;4;1;4;1;5;1;19;1;1;1;2;2;3
5;557;-3.21355406394861;-8.02421607720979;9.60494526380778;8.86228828153103;4.68544866839639;1;1;1;5;2;3;4;3;5;3;4;2;5;4;4;2;3;2;4;3;3;2;22;2;3;4;2;3;4
5;558;-0.756027926393321;-24.5702145128742;5.79414014912204;20.1204119116357;16.2212465578508;1;1;1;4;3;5;2;3;5;4;5;1;5;5;5;1;4;1;1;1;4;2;21;1;3;3;2;1;4
5;559;-0.763774900376319;-15.3204700330638;4.06453530015722;14.8326521742023;12.2520163123383;1;1;1;5;3;4;2;3;5;3;5;2;3;3;4;1;3;2;3;3;4;1;23;1;4;7;2;2;7
5;560;-0.761270254992217;-17.7977160138008;4.94445976012854;25.6337212378414;23.6344953760557;1;1;1;5;4;3;2;3;5;3;4;2;5;4;4;1;1;1;2;4;3;1;21;1;1;4;1;2;3
5;561;-6.67540897764617;-5.88192011845004;21.8212144740168;15.5529775017154;8.47197645444368;1;1;1;5;4;3;2;4;5;4;5;2;4;3;5;1;4;1;5;5;4;2;21;1;3;4;0;1;2
5;562;-1.91389957147566;-16.2577006189796;17.3310625206021;59.5580705416987;44.0081309746182;1;1;1;5;3;4;2;1;4;2;3;1;3;2;2;2;2;1;5;5;2;2;23;2;5;4;1;5;3
5;563;-1.80030670843122;-15.7277473244584;12.2207648133647;41.435591229444;32.9626076742365;1;1;1;5;4;3;2;3;5;2;3;1;4;4;5;1;3;2;4;4;2;1;27;2;5;1;2;3;4
5;564;-1.82724713057632;-9.91177048352245;5.59241555428753;14.8076667633275;14.2831725957176;1;1;4;5;3;2;1;2;5;4;4;1;4;4;4;1;3;1;2;2;3;1;26;3;7;7;1;5;5
5;566;-1.42909869450191;-15.0995883824367;4.91546341217263;7.51227283540343;6.56653282487871;1;1;2;5;3;1;4;3;5;3;4;2;5;4;4;2;4;2;3;3;4;1;26;3;7;9;2;1;6
5;567;-2.02890698686007;-25.988294220756;22.4185483627844;47.5974727920308;41.6476810239757;1;1;5;2;3;1;4;2;4;2;5;1;3;2;5;1;4;1;4;3;4;2;28;2;5;1;3;2;6
5;569;-1.65367204364736;-12.5879641858474;11.7266757143248;60.8417965369937;58.206468771917;1;1;1;4;3;5;2;2;4;3;5;3;4;4;4;1;4;1;5;4;4;1;25;1;4;8;1;5;4
5;572;-3.26427062275542;-10.9066391650961;15.2456203596804;37.3372608253209;34.1796302803244;1;1;1;5;4;3;2;4;5;4;5;3;5;5;5;1;4;2;4;4;4;2;20;1;2;0;1;4;6
5;573;-9.18413509047176;-4.8493650905554;46.3899121868917;19.3960742796852;-10.8114557331839;1;1;3;2;1;4;5;2;5;3;4;4;1;1;4;2;3;1;2;1;3;1;21;1;2;1;0;2;5
6;650;-2.21117046874312;-15.1689111745676;4.96527350812714;-5.43189129203803;-6.54781477382617;0;0;1;5;3;4;2;2;3;3;3;1;4;3;3;1;3;1;2;3;3;2;20;2;4;1;3;5;4
6;652;-1.87006940728095;-28.285145702385;15.7391336196986;13.5551748204791;11.8836822688917;0;0;1;5;2;3;4;1;5;3;5;2;2;2;4;2;2;2;4;3;3;2;23;1;4;3;5;4;5
6;653;-1.96811188165298;-16.0555098019596;18.7428707773066;48.7102360628988;37.1570083818877;0;0;5;4;1;3;2;3;5;2;5;1;5;5;1;3;2;3;5;1;3;2;28;3;7;5;1;4;6
6;654;-1.02268356591537;-11.9700034383411;3.50936058712638;24.9818005050804;25.637219449154;0;0;1;5;4;3;2;1;5;3;3;1;3;1;1;3;2;1;4;5;1;2;21;2;2;3;1;1;4
6;655;-1.97449594524217;-14.2107730079607;14.4310691168812;50.1964139572948;40.9497061230563;0;0;3;2;1;4;5;2;5;4;4;1;5;4;4;1;4;1;5;2;5;1;23;1;5;6;2;4;6
6;656;-1.82548166780206;-4.87261495106174;3.94633385153744;14.8733893459566;15.2635562775478;0;0;5;4;1;2;3;1;5;1;1;1;5;4;3;1;4;1;2;1;2;2;23;2;4;5;1;5;6
6;657;-0.439376292534675;-16.3315083254558;2.64355563585447;30.2738802334548;28.4535074672612;0;0;3;4;1;5;2;3;5;3;4;1;5;4;2;2;3;1;4;4;2;2;21;1;3;5;0;5;5
6;658;-0.974945717055661;-14.0070828225529;3.52629484519012;27.4085469263702;28.4877960189837;0;0;2;5;3;4;1;1;2;2;2;1;3;1;5;3;3;2;3;1;2;2;19;1;1;0;4;1;9
6;659;-1.78025581962871;-13.0074876941116;8.69405805641365;28.5820104875334;28.7403353391783;0;0;1;5;4;3;2;3;5;3;5;2;5;5;4;1;2;1;4;1;3;2;19;1;1;0;0;5;9
6;660;-3.33470669707187;-10.1373830075966;18.6049049371144;46.4577708138055;39.8030190685376;0;0;1;2;3;5;4;4;5;4;4;3;4;3;5;1;3;1;1;5;2;1;21;1;3;2;1;5;4
6;661;-2.19623682342018;-7.082964662188;6.11196679228795;11.5138456496805;8.12185264077776;0;0;1;5;4;3;2;3;4;4;4;2;4;3;4;3;2;2;3;4;2;2;20;1;2;0;1;2;3
6;662;-0.851156531313761;-10.1671751115882;2.79670622407622;25.747492965306;26.1388705813637;0;0;1;3;4;5;2;5;5;4;5;4;5;5;5;1;3;1;2;1;5;2;24;2;5;4;1;5;9
6;663;-0.890625473070366;-20.5948674744789;4.24214620918431;13.7407936393015;12.3089256448566;0;0;1;3;4;5;2;1;4;3;5;1;5;2;5;1;2;1;2;3;3;2;20;2;2;0;1;5;4
6;664;-0.715301797430346;-13.3850084189746;3.7606149584028;32.5522349681904;31.0764260415889;0;0;1;4;3;5;2;4;5;4;5;2;5;4;4;1;1;1;4;4;4;2;22;1;3;2;1;3;4
6;665;-1.15553541097522;-5.66003236195892;5.59632942370343;-94.8743731030663;-81.02432097123;0;0;1;5;3;4;2;1;4;3;4;1;5;3;5;1;3;1;4;1;1;1;22;1;3;0;1;2;5
6;669;-2.12709087371084;-25.9048063825647;17.0814555360965;15.5720568203931;12.148993967698;0;0;1;4;2;5;3;3;5;3;4;1;5;3;5;1;3;1;2;2;4;1;20;1;2;4;0;2;9
6;670;-1.44399286425441;-11.7206081150128;2.62139380614947;2.67259949605987;2.16807834137711;0;0;1;5;4;3;2;2;5;4;5;1;5;5;5;2;4;1;1;1;4;2;22;1;3;0;1;5;7
7;753;-2.65867771645841;-12.8259104080917;7.51440595064508;10.0605400616475;9.32852212111704;0;1;1;5;2;4;3;1;3;2;2;1;3;2;4;4;2;1;3;3;1;2;26;1;4;5;1;2;5
7;755;-1.87495547693111;-21.1829126398024;18.5793460451642;42.6411321919597;32.7460404150737;0;1;4;5;3;1;2;1;4;2;3;1;5;3;5;1;3;2;3;4;3;2;21;1;3;5;0;2;5
7;756;-2.04176294903678;-8.0931450125534;4.77662093501981;15.5491724277436;13.8391499387204;0;1;1;4;3;5;2;2;5;3;4;4;5;4;4;1;4;3;5;4;4;1;21;2;3;6;2;5;5
7;758;-1.79157631234448;-9.06761834334309;5.78398405100481;8.19129800437698;4.27939721592101;0;1;1;5;4;2;3;3;4;3;4;2;4;3;4;1;3;2;4;6;4;2;23;1;4;1;1;3;6
7;759;-2.23774318502792;-7.95143472749983;9.81688978507715;43.7811364363267;37.992079088029;0;1;1;5;3;4;2;3;5;4;5;3;4;3;5;1;3;2;3;1;4;1;22;1;4;1;1;5;5
7;760;-2.21614208458157;-6.67603003540443;6.07547757071159;4.55079173637319;2.00826362681399;0;1;1;4;3;5;2;1;5;3;3;1;5;3;5;1;3;1;4;4;4;2;21;1;3;2;2;1;3
7;761;-2.84569961040549;-4.66721407897878;6.19216501569443;-56.5894757071228;-57.4673736438442;0;1;1;5;3;4;2;2;4;4;4;1;4;3;4;1;3;1;3;1;3;1;26;2;6;5;1;4;6
7;762;-0.401339815092724;-18.0723982345734;1.21446390175017;4.29165949113596;3.07397767138858;0;1;1;5;2;4;3;3;5;5;5;2;5;5;4;1;2;1;1;2;4;2;26;1;4;5;1;5;4
7;764;-1.60845074204994;-12.551436599293;7.04301237701038;30.0019470208902;28.6044224229668;0;1;3;4;5;2;1;1;2;1;5;1;4;3;1;1;3;1;3;6;1;2;22;1;2;5;1;1;9
7;765;-0.772070805076437;-9.41818403099412;2.30863291841054;-0.0216868944347156;-4.46453322875746;0;1;1;5;3;4;2;3;5;2;3;3;5;3;3;1;4;3;5;3;1;2;25;2;3;2;1;5;6
7;767;-4.80842993989815;-11.09181709552;14.9451723550327;13.2356830795897;12.5448620710203;0;1;1;4;3;5;2;4;5;4;4;2;5;4;5;1;3;1;4;2;4;2;21;1;3;3;1;2;4
