market_value;age;height;weight;goals_CL;goals_UEFA;goals_cups;goals_top5l;goals_rest;goals_nat;app_nat;games_start;subs;assists;shots_tot;shots_on_gs;top_spa;top_ita;top_eng;top_ger;top_fra;rank;popularity;name
15.0;23;176;76;0;0;0;20;0;0;0;93;14;17;329;119;0;0;0;0;0;221;0.548;zarate
12.5;30;186;83;5;0;0;51;0;0;1;146;28;10;291;118;0;0;0;0;0;1412;4.2;amauri
7.0;36;173;73;8;0;4;55;0;27;91;129;44;20;366;139;0;1;0;0;0;440;2.89;del piero
13.5;31;187;77;6;0;0;49;0;6;40;114;52;17;241;94;0;0;0;0;0;1147;0.836;iaquinta
15.0;27;182;73;0;8;0;52;0;6;25;164;40;16;520;175;0;0;0;0;0;98;0.658;quagialera
5.0;29;183;72;4;0;7;26;0;5;47;101;75;7;329;116;0;0;0;0;0;1728;1.27;baptista
8.5;28;189;86;8;0;2;22;0;29;51;87;21;11;164;44;0;0;0;0;0;1983;14.0;adriano
17.0;28;180;73;1;1;0;42;0;0;6;96;31;7;281;106;0;0;0;0;0;69;1.36;boriello
25.0;27;186;76;8;2;4;45;0;11;21;147;52;21;346;149;0;0;0;0;0;166;0.524;vucinic
10.0;34;180;70;7;3;1;82;0;9;58;167;7;32;461;113;0;1;0;0;0;796;2.64;totti
6.5;20;186;70;0;0;0;7;0;1;1;8;19;2;32;13;0;0;0;0;0;1412;4.6;hernandez
8.5;31;168;64;4;0;0;41;0;2;10;89;9;21;376;145;0;0;0;0;0;290;0.233;miccoli
4.5;31;180;73;0;0;0;40;0;0;2;108;5;9;329;126;0;0;0;0;0;627;0.157;maccarone
37.5;29;179;75;14;0;3;95;0;44;97;195;13;36;614;243;1;0;0;0;0;97;22.5;etoo
28.0;31;179;78;6;0;6;99;0;4;24;187;19;22;426;178;0;0;0;0;0;180;2.68;milito
18.0;27;184;75;5;0;6;48;0;23;53;163;29;16;246;119;0;0;0;0;0;756;0.735;pandev
2.5;31;183;75;0;1;0;47;4;16;54;122;36;5;146;61;0;0;0;0;0;1882;0.387;suazo
18.5;28;175;73;0;3;3;35;0;5;19;112;25;29;277;125;0;0;0;0;0;947;9.43;cassano
4.0;24;184;75;0;0;0;18;0;0;0;48;41;2;88;31;0;0;0;0;0;1511;0.214;pozzi
19.0;26;180;77;0;0;6;51;0;1;12;121;49;11;296;114;0;0;0;0;0;290;0.598;pazzini
6.0;27;183;73;0;0;0;19;0;0;0;59;42;9;233;92;0;0;0;0;0;296;0.383;floro flores
13.0;33;170;78;0;4;1;78;0;10;36;173;26;25;455;198;0;1;0;0;0;18;1.59;di natale
9.5;22;168;62;0;0;0;8;0;11;33;44;21;5;104;34;0;0;0;0;0;102;2.9;sanchez
7.0;26;182;68;0;0;0;11;0;0;3;67;43;7;101;42;0;0;0;0;0;1431;0.133;palladino
6.0;33;196;88;3;0;4;90;0;16;47;184;18;25;476;219;0;1;0;1;0;601;3.12;toni
5.0;29;177;71;0;0;0;18;0;0;0;82;24;8;168;70;0;0;0;0;0;791;0.409;sculli
1.8;27;182;74;0;0;0;3;0;0;1;10;20;1;31;15;0;0;0;0;0;1451;0.056;granoche
6.0;31;175;76;0;0;2;46;0;1;1;122;27;8;214;88;0;0;0;0;0;262;0.142;pellissier
5.0;31;175;66;0;0;1;30;0;0;1;131;5;18;286;86;0;0;0;0;0;649;0.195;mascara
6.5;26;192;88;0;0;1;14;0;0;1;36;20;3;76;32;0;0;0;0;0;333;1.12;lopez
4.0;22;180;70;0;0;1;14;0;3;9;40;36;6;105;41;0;0;0;0;0;1801;0.193;morimoto
6.5;23;184;67;0;0;0;27;0;0;0;67;23;2;163;75;0;0;0;0;0;1125;0.227;acquafresca
8.0;26;183;80;0;0;0;25;0;0;0;61;42;11;164;67;0;0;0;0;0;336;2.46;matri
5.7;27;183;78;0;0;0;8;20;0;0;42;19;1;63;38;0;0;0;0;0;737;4.38;nene
1.8;24;180;68;0;0;0;3;27;0;2;67;24;1;46;36;0;0;0;0;0;1561;1.81;gimenez
