ID_resp;sex;age;edugroup;forpleas;forentert;forrest;forcontart;forposh;forestet;formovm;forsocial;forchild;forticket
252;2;3;2;4;4;2;4;4;4;4;3;1;1
270;2;3;2;4;4;4;3;3;4;4;3;2;3
271;2;3;2;4;4;4;4;4;4;4;4;4;4
273;2;3;3;4;3;3;4;4;4;3;4;2;1
278;1;3;2;3;3;4;3;3;3;3;3;2;2
284;1;3;3;3;2;4;2;4;4;4;1;1;1
287;2;1;2;4;4;4;4;4;3;3;3;4;2
290;2;4;2;4;4;4;3;4;4;4;2;1;3
295;2;3;3;4;4;4;4;4;4;3;2;2;2
299;1;3;2;4;4;4;3;3;3;3;3;1;2
300;2;2;3;4;4;3;3;3;4;3;3;4;1
303;2;2;3;4;4;4;3;3;4;3;4;2;3
304;1;3;2;4;3;4;3;3;3;3;2;4;1
308;1;3;3;4;4;4;3;3;4;3;3;1;2
309;1;1;3;4;3;2;1;2;4;4;1;1;4
320;1;3;3;4;4;4;4;4;4;4;4;4;4
324;1;2;3;4;4;4;4;4;4;4;4;4;3
327;2;2;3;4;4;3;4;4;4;3;3;2;2
330;2;3;2;4;3;4;3;3;4;3;4;2;2
331;1;3;3;4;4;4;2;2;2;3;2;2;2
341;2;2;2;4;4;4;4;3;4;4;2;3;1
346;2;3;3;3;4;3;4;3;3;4;3;2;2
357;1;2;3;4;3;3;4;4;4;4;1;3;1
362;1;3;1;4;4;4;2;3;4;4;1;1;2
363;1;4;2;4;4;4;4;4;4;4;2;3;3
364;1;3;3;4;3;3;3;4;4;4;3;2;2
365;1;3;3;4;2;3;1;3;3;4;1;1;1
366;2;3;3;4;3;3;3;4;4;4;2;1;2
368;2;3;3;4;4;4;3;3;3;4;2;1;2
373;1;3;3;3;3;3;3;3;3;3;3;3;3
375;2;2;3;4;4;3;3;3;4;4;4;3;1
377;1;2;3;3;3;3;3;3;3;3;3;3;3
379;2;2;3;4;4;4;4;4;4;4;4;1;1
381;1;2;3;4;4;2;2;2;3;3;4;1;1
387;2;2;3;3;3;4;3;4;4;3;4;1;2
389;2;4;3;4;4;4;3;4;4;4;4;1;4
392;1;4;3;4;4;3;3;4;4;4;2;2;1
393;2;3;3;4;4;3;4;3;4;4;1;2;2
394;2;3;3;3;3;3;3;4;3;4;4;4;3
397;2;1;2;4;3;2;3;3;2;2;2;2;2
398;2;1;3;4;4;4;4;4;4;4;3;1;2
399;2;2;3;4;3;3;2;3;4;3;2;1;1
405;2;2;3;3;3;3;2;3;3;3;3;3;1
408;1;2;3;4;4;4;4;4;4;4;1;2;2
412;2;3;2;4;4;2;2;2;3;2;2;1;1
418;1;3;2;4;4;4;4;4;4;4;1;1;1
419;2;2;3;4;4;4;3;3;4;4;3;3;3
423;1;2;3;3;3;3;3;2;3;2;2;1;1
424;2;3;3;4;3;3;3;3;4;3;3;1;1
426;1;4;3;3;3;3;3;2;3;3;3;3;2
428;2;3;2;4;4;4;2;3;4;4;2;4;1
432;1;4;3;4;4;3;2;1;3;2;3;1;3
433;2;2;3;4;4;4;4;3;3;3;2;1;1
435;2;3;3;4;3;4;2;4;3;4;2;1;1
438;2;3;1;4;4;3;4;4;4;4;2;1;1
439;2;3;2;3;3;3;3;3;3;3;2;2;2
440;2;3;2;3;3;3;3;3;3;3;3;3;3
442;1;3;2;3;3;4;3;2;3;4;3;1;3
445;1;2;3;4;4;3;2;3;2;3;4;1;1
446;2;2;2;4;3;3;4;3;2;4;2;1;1
447;1;4;2;3;3;3;2;2;3;3;2;1;2
450;2;2;2;3;3;3;3;3;3;3;3;3;1
453;2;3;3;4;4;4;4;4;4;4;2;1;4
457;2;3;2;4;4;4;3;4;4;4;1;1;2
459;1;3;2;4;4;4;3;3;4;3;3;1;2
460;2;3;3;4;3;3;3;3;3;3;3;2;1
463;1;2;2;4;4;4;3;3;4;4;3;3;2
466;2;4;3;3;3;3;3;3;3;3;3;3;3
467;2;2;3;4;4;4;3;3;4;4;2;1;1
469;1;4;3;4;4;3;3;3;3;4;2;1;3
474;2;3;2;4;3;3;3;3;4;4;2;1;2
479;2;2;3;4;4;4;4;4;4;3;2;4;2
480;1;2;3;4;1;1;3;4;4;4;1;1;1
481;2;2;3;3;3;2;3;3;3;3;3;2;1
482;1;2;3;3;3;3;3;3;3;3;3;1;1
484;2;2;3;4;4;4;2;4;4;3;3;1;1
487;1;2;3;4;4;3;2;1;1;3;1;1;1
488;2;1;3;4;4;3;3;2;3;3;3;1;1
490;2;2;3;4;4;4;3;4;3;4;4;2;2
491;1;3;3;4;3;4;3;3;4;4;2;2;1
493;1;3;3;4;3;3;2;3;3;4;1;1;1
495;1;3;3;4;4;3;3;3;3;3;4;1;2
496;2;3;3;4;3;4;3;4;3;4;4;4;2
498;1;2;3;4;4;4;2;3;3;3;1;1;1
500;2;2;2;4;4;4;4;4;4;4;4;3;3
501;2;2;3;4;4;4;4;4;4;4;4;1;4
504;2;3;3;4;4;4;2;4;4;4;3;1;1
506;1;3;3;4;3;2;2;4;4;4;2;3;2
507;2;3;2;3;3;4;3;3;3;3;3;2;2
508;2;3;3;4;3;3;3;4;4;4;2;1;1
511;1;2;3;4;4;4;2;3;3;4;3;1;1
513;2;2;3;4;4;3;1;1;2;3;1;1;1
524;2;3;3;4;4;4;4;4;4;4;2;1;1
526;2;2;3;3;4;3;3;3;3;3;3;3;2
527;1;1;3;3;2;2;3;3;2;3;2;2;3
528;2;2;3;4;3;3;3;4;4;3;3;3;1
529;1;3;3;2;3;3;3;4;3;2;2;3;2
534;2;4;3;4;3;3;3;4;4;4;3;1;2
535;1;2;3;4;4;3;3;4;3;4;3;1;2
536;1;2;3;3;3;3;3;3;3;3;3;3;2
541;2;3;3;4;4;4;3;4;4;4;1;2;1
542;1;3;3;4;4;4;4;4;4;4;3;4;2
544;2;4;3;3;3;3;4;4;4;4;2;1;2
547;2;4;2;4;4;4;3;4;4;4;4;3;4
548;2;4;3;4;3;3;3;3;3;3;2;1;3
551;2;3;2;4;4;4;3;4;3;4;3;1;1
552;1;1;3;3;3;3;3;3;3;3;2;1;2
554;1;2;2;3;3;3;2;3;3;2;3;3;2
555;1;2;2;4;4;4;4;4;4;4;4;4;2
557;2;3;3;3;3;3;3;3;2;2;3;1;1
560;2;2;3;4;4;4;2;3;3;4;3;1;1
566;2;2;2;4;4;4;4;4;3;4;4;3;3
567;2;3;3;3;2;2;2;3;3;3;2;2;2
568;1;3;2;4;4;3;4;3;4;3;4;2;2
571;1;3;3;4;4;3;2;3;3;3;2;1;1
572;2;2;3;3;3;4;4;3;3;3;3;1;1
574;2;2;3;4;4;4;3;4;3;3;4;2;3
575;1;3;3;3;3;3;3;3;4;4;3;2;1
576;2;3;3;4;4;4;4;4;4;4;1;1;1
578;2;3;2;4;4;4;2;4;4;3;3;2;4
579;1;4;3;4;3;3;1;2;2;3;2;1;1
580;1;3;3;4;3;3;3;4;3;4;3;3;1
582;2;3;3;4;4;4;4;3;3;4;2;1;3
583;2;3;2;3;3;3;3;2;3;3;2;1;2
584;2;4;3;3;4;4;3;4;3;3;4;3;1
585;2;3;1;4;4;3;3;3;3;3;1;1;1
586;2;4;3;3;3;3;4;4;4;2;3;2;1
587;2;3;2;4;4;4;3;4;4;4;3;3;2
590;1;2;3;4;4;4;3;3;2;3;2;1;2
591;2;3;2;4;3;3;3;3;3;3;3;1;2
592;1;2;3;4;3;3;2;4;4;3;3;2;2
593;1;3;2;4;3;3;4;4;3;3;3;4;2
594;1;3;3;3;3;3;3;2;3;4;2;3;2
596;1;2;3;4;4;4;3;3;3;4;4;3;3
597;2;4;2;4;4;4;4;4;4;4;4;2;3
598;1;2;3;3;3;3;3;3;3;3;2;2;2
599;2;3;3;3;3;3;3;3;3;3;3;2;2
601;1;3;3;3;3;2;4;1;4;1;1;1;1
602;1;2;3;3;4;4;4;4;3;3;3;1;3
606;1;2;3;4;4;3;4;3;3;1;4;1;1
607;1;3;2;4;3;4;3;3;3;4;2;2;2
609;2;2;3;4;4;4;4;3;4;4;4;1;3
611;2;3;2;4;4;4;2;4;3;4;2;2;4
612;1;4;2;1;1;1;1;1;3;1;2;2;3
613;1;4;3;4;3;3;4;3;3;4;3;2;2
615;2;3;3;3;3;4;3;3;3;3;3;1;1
616;2;3;2;4;4;4;3;3;4;4;2;1;1
617;1;2;1;3;4;4;3;3;4;4;4;4;3
618;2;2;3;4;4;4;3;4;4;4;2;1;1
619;2;3;2;4;4;4;3;4;4;4;2;2;4
620;2;4;3;3;3;3;3;3;3;3;3;3;2
622;1;3;3;3;3;3;2;2;2;3;2;3;2
623;2;2;3;4;4;3;3;4;4;3;4;1;1
624;1;3;3;4;4;3;3;2;2;2;3;3;2
625;1;3;3;1;1;1;1;1;1;1;1;1;1
626;1;3;3;4;4;4;3;4;4;4;3;2;2
627;1;2;3;4;4;4;3;4;4;3;2;1;1
628;1;2;3;3;4;2;3;3;3;4;2;1;1
629;1;4;3;4;4;4;3;4;4;4;3;1;1
634;1;3;3;4;3;4;3;4;4;3;1;3;1
637;2;1;2;4;4;4;4;3;4;4;4;3;2
638;2;3;3;4;4;4;4;3;3;3;1;1;2
639;2;3;3;3;3;3;3;3;3;3;3;3;3
643;1;3;3;3;3;3;3;2;3;3;2;3;2
644;2;4;3;4;4;4;3;3;4;3;2;1;1
647;2;3;3;4;4;3;3;3;4;4;2;2;2
654;2;3;3;4;4;4;4;4;4;4;4;4;4
658;1;4;2;3;3;3;2;2;3;3;3;2;1
662;2;4;2;4;3;3;3;4;4;4;3;1;1
667;1;4;3;3;3;3;1;2;2;2;2;2;3
668;2;2;3;4;3;4;3;4;3;3;3;1;1
669;1;4;3;3;3;3;3;3;3;3;2;2;2
672;2;2;3;4;3;3;3;3;3;3;2;1;1
673;1;2;3;4;4;3;3;4;4;4;4;4;4
675;2;3;2;4;4;4;3;3;3;4;3;1;2
677;2;3;2;4;4;4;4;3;4;4;4;4;1
679;2;3;3;4;4;4;2;4;3;3;3;1;2
680;1;3;3;3;3;3;2;3;4;4;2;3;1
681;2;2;3;4;4;3;3;3;2;3;4;1;1
684;2;4;2;4;4;4;3;3;3;1;2;1;1
685;2;3;2;4;4;4;3;3;4;4;4;1;1
686;2;3;3;4;4;4;3;3;4;4;2;3;3
687;2;3;2;4;4;4;3;3;4;4;1;2;1
688;2;1;2;4;4;2;3;3;2;1;2;1;1
689;2;3;2;3;3;3;3;3;3;3;3;3;3
690;2;3;3;4;4;4;4;4;4;4;3;2;2
692;1;3;3;4;4;4;3;4;4;4;3;4;3
706;1;3;2;4;4;4;3;3;3;2;3;1;1
709;2;2;1;2;2;1;3;4;3;4;3;2;4
715;1;3;2;4;3;4;4;4;3;3;3;2;1
716;1;4;3;4;3;3;3;4;4;3;2;2;2
719;1;4;3;3;3;4;4;4;3;4;2;2;1
720;1;3;2;4;4;2;1;2;4;4;1;1;2
724;2;3;3;4;3;4;4;4;4;4;3;2;1
725;2;3;2;3;2;2;2;3;4;3;4;3;4
729;2;3;2;4;3;3;2;4;3;3;3;1;1
730;2;2;2;4;4;4;3;3;3;4;3;2;1
731;2;2;3;4;4;4;4;3;4;4;4;4;4
733;2;3;2;4;4;4;4;3;4;2;3;4;2
734;2;3;2;4;4;3;4;4;4;4;2;4;1
735;2;3;2;4;4;4;2;3;2;4;2;1;2
736;2;3;2;4;3;3;3;2;4;3;3;2;2
739;1;3;2;4;3;4;3;3;3;3;1;2;3
740;1;2;2;3;4;3;2;2;4;2;2;1;1
745;2;2;3;4;3;4;3;3;3;4;4;4;3
747;2;4;2;3;3;2;2;4;3;3;2;1;2
748;2;1;3;4;3;2;3;4;4;4;1;1;1
750;2;2;3;3;3;3;3;3;3;3;3;3;3
759;2;2;3;4;4;3;1;2;4;4;3;1;1
762;1;4;3;3;3;3;3;3;4;4;2;1;1
763;1;3;2;4;4;4;4;4;4;4;3;2;2
765;2;3;3;4;4;3;3;3;4;4;3;2;1
767;2;3;2;3;3;4;3;3;3;3;2;1;2
770;1;3;2;4;4;4;1;2;2;3;1;2;2
771;1;3;2;4;3;3;3;4;3;4;2;1;1
772;1;2;2;4;2;2;2;4;4;2;1;1;1
775;2;1;3;4;4;3;3;3;3;3;2;4;2
777;2;2;2;4;4;4;4;4;3;3;3;4;2
780;2;2;3;4;4;4;3;3;4;4;1;4;2
781;1;3;2;4;3;3;3;3;4;4;1;1;1
785;2;4;3;4;3;3;2;3;2;4;2;1;1
786;2;4;2;4;4;3;4;4;1;4;3;1;1
791;1;3;2;4;3;4;2;4;4;4;2;2;2
793;2;3;3;4;4;4;1;2;4;3;1;1;1
794;2;3;3;4;3;4;4;3;3;4;4;3;4
798;2;3;3;3;4;4;3;2;4;3;4;3;1
802;1;3;2;4;4;3;4;4;4;4;3;4;3
804;1;3;2;3;3;3;2;3;3;3;2;1;1
808;2;3;3;4;4;4;3;3;4;4;1;2;1
809;1;3;3;4;4;4;3;3;3;2;3;2;1
810;1;2;2;3;3;1;3;1;1;1;3;3;1
813;1;2;3;4;4;3;2;3;4;4;3;1;3
814;1;2;2;4;4;4;2;2;3;3;3;4;1
821;1;2;3;4;4;4;2;2;4;4;2;2;2
823;2;3;3;4;4;4;4;4;4;4;2;2;1
824;2;4;3;4;1;2;2;4;3;4;1;1;1
828;2;2;2;4;4;3;4;3;4;3;3;1;1
830;1;3;2;2;3;4;4;3;4;4;2;1;2
831;2;2;2;3;4;3;2;2;3;3;2;1;1
832;2;1;2;3;3;2;2;3;2;3;2;1;2
834;1;1;2;4;4;4;4;4;4;3;3;1;1
835;1;4;3;4;3;4;4;4;4;4;2;2;2
837;1;3;3;4;4;4;2;3;4;4;3;3;1
838;2;1;2;4;3;3;2;2;3;3;2;1;2
841;2;1;3;4;4;4;1;3;4;2;3;1;1
844;2;3;3;4;4;4;3;4;4;4;3;3;3
848;1;3;3;4;4;4;2;1;4;3;1;1;1
849;2;4;2;3;3;3;3;2;3;3;2;1;1
853;1;4;3;4;3;2;2;3;4;4;2;1;2
