rank_priv;rank_in;rank_out;name;state;admit_rate;grad_rate;total_cost_in;cost_based_in;total_cost_out;cost_based_out;avg_dept;salary;public;per_non_need;avg_non_need
;71;69;University of Tennessee;TN;75;39;23960;14999;42150;33189;23870;42300;1;;
;72;77;Florida International University;FL;48;24;18722;13051;31122;25451;18519;45100;1;;
;73;76;Western Carolina University;NC;43;40;16321;10163;26714;20556;23806;35100;1;;
;74;81;Auburn University;AL;83;42;24208;16768;41824;34384;27782;45400;1;;
;75;72;University of Nebraska ? Lincoln;NE;70;33;19659;12562;33826;26729;23395;43800;1;;
;76;73;Purchase College, State University of New York;NY;41;58;22050;15536;31900;25386;26348;34700;1;;
;77;86;West Chester University of Pennsylvania;PA;53;44;18789;13227;29607;24045;30881;46500;1;;
;78;97;University of California, Santa Cruz;CA;57;55;30052;11927;54760;36635;22583;44600;1;;
;79;39;University of Minnesota, Morris;MN;64;54;21550;11670;21550;11670;24538;38800;1;;
;80;79;Christopher Newport University;VA;56;55;24380;18733;35678;30031;29385;42400;1;;
;81;87;University of Mississippi;MS;81;37;18772;11209;32002;24439;26443;40600;1;;
;82;45;Hunter College of the City University of New York;NY;35;22;22301;15754;32771;26224;13000;44800;1;;
;83;54;State University of New York College at Oneonta;NY;43;53;20912;16203;30762;26053;15373;42400;1;;
;84;84;University of Louisville;KY;74;25;19886;11181;34192;25487;23375;37700;1;;
;85;96;University of Vermont;VT;73;65;29118;14382;51510;36774;27276;44000;1;;
;86;75;State University of New York at Plattsburgh;NY;48;40;20344;13718;30194;23568;28149;40600;1;;
;87;58;San Diego State University;CA;34;30;24606;14706;35766;25866;18400;48700;1;;
;88;78;Arizona State University at the Tempe campus;AZ;84;43;22620;13613;37600;28593;21920;45200;1;;
;89;85;Western Washington University;WA;85;40;20069;11006;32421;23358;21520;43200;1;;
;90;94;University of Colorado Boulder;CO;84;46;26085;15705;49119;38739;25126;48000;1;;
;91;82;Ramapo College of New Jersey;NJ;53;58;26738;17609;35603;26474;29972;48700;1;;
;92;70;Salisbury University;MD;55;45;21396;15515;29742;23861;24567;47300;1;;
;93;100;University of Oregon;OR;75;46;23142;15649;44877;37384;24508;41600;1;;
;94;98;University of California, Riverside;CA;58;44;30939;14173;55647;38881;21166;48700;1;;
;95;93;Georgia College & State University;GA;76;40;22282;17828;40630;36176;22950;38500;1;;
;96;88;College at Brockport, State University of New York;NY;49;50;20594;14640;29944;23990;27677;40100;1;;
;97;99;University of Arizona;AZ;75;40;22443;11717;43670;32944;22761;44400;1;;
;98;90;Texas Tech University;TX;66;33;19172;11985;30872;23685;27879;46100;1;;
;99;92;Colorado State University;CO;80;40;22492;15743;39201;32452;23721;44300;1;;
;100;91;Towson University;MD;59;43;21900;13584;33506;25190;25926;49500;1;;
1;;;Princeton University;NJ;7;90;;;58660;16563;6600;75100;0;0;0
2;;;Harvard University;MA;6;86;;;61659;17229;15117;87200;0;0;20827
3;;;Vanderbilt University;TN;13;88;;;61470;21517;20790;60900;0;20;22372
4;;;Rice University;TX;15;82;;;56703;21749;22241;59900;0;21;13730
5;;;Yale University;CT;6;87;;;63250;17540;14853;66000;0;0;0
6;;;Duke University;NC;11;87;;;64593;22683;20556;76700;0;21;20714
7;;;California Institute of Technology;CA;9;85;;;60084;22527;12104;74000;0;0;0
8;;;Massachusetts Institute of Technology;MA;8;81;;;61434;24344;19064;91600;0;0;0
9;;;Stanford University;CA;5;76;;;61852;20232;19230;80900;0;0;8980
10;;;Emory University;GA;27;84;;;60668;23011;24741;59000;0;5;22538
11;;;Dartmouth College;NH;12;88;;;65094;22831;21533;67100;0;0;0
12;;;Brown University;RI;9;85;;;63496;22579;24300;59700;0;0;9452
13;;;University of Pennsylvania;PA;10;87;;;64776;24732;19442;78200;0;0;0
14;;;Cornell University;NY;14;87;;;63684;26125;21411;70900;0;0;0
15;;;Northwestern University;IL;13;85;;;65603;27929;19864;64100;0;8;2480
16;;;University of Notre Dame;IN;21;90;;;62825;29800;26674;69400;0;12;15804
17;;;Georgetown University;DC;17;91;;;64385;27507;22464;83300;0;0;0
18;;;Johns Hopkins University;MD;15;88;;;64960;30498;23627;69200;0;3;30165
19;;;Boston College;MA;34;88;;;63930;29201;21099;67000;0;3;19189
20;;;Washington University in St. Louis;MO;17;90;;;64350;28795;23858;62300;0;18;8665
21;;;Brigham Young University;UT;47;30;;;18622;13725;14021;57400;0;37;3944
22;;;Tufts University;MA;17;88;;;65308;28161;26616;67800;0;3;500
23;;;Lehigh University;PA;34;76;;;59510;26515;31877;76800;0;9;12424
24;;;Wake Forest University;NC;34;83;;;62078;26527;34745;61000;0;10;16055
