"country","Region","X2016.Score","Property.Rights","Freedom.from.Corruption","Fiscal.Freedom","Gov.t.Spending","Business.Freedom","Labor.Freedom","Monetary.Freedom","Trade.Freedom","Investment.Freedom","Financial.Freedom","Tariff.Rate....","Income.Tax.Rate....","Corporate.Tax.Rate....","Tax.Burden...of.GDP","Gov.t.Expenditure...of.GDP","Population..Millions.","GDP..Billions..PPP.","GDP.Growth.Rate....","X5.Year.GDP.Growth.Rate....","GDP.per.Capita..PPP.","Unemployment....","Inflation....","FDI.Inflow..Millions.","Public.Debt....of.GDP.","minYear.x","maxYear.x","sharePresident","shareAssemblyPresident","shareParliament","system","minYear.y","maxYear.y","meanPolity","Freq","polity2","meanInd","meanInt","meanCiv","meanTOT","shareInt","shareCiv","bombings","legor_uk","legor_fr","legor_so","legor_ge","legor_sc","Int_","Civ_","Tot_","country2","polity2_","legal"
"Tajikistan","Asia-Pacific","51.3","20","23","91.6","76.9","61.1","47.3","69.8","68.6","25","30","5.7","13","15","21","27.7","8.3","22.3","6.7","7.1","2688","10.9","6.1","262.7","28.2",1994,2014,1,0,0,0,1994,2014,-3.04761904761905,21,-3,1,0,0.714285714285714,0.714285714285714,0,0.238095238095238,0,0,0,1,0,0,0,1,1,"Tajikistan",2,3
"Tanzania","Sub-Saharan Africa","58.5","25","31","79.2","88.4","47.5","62.6","67.7","73.2","60","50","8.4","30","30","16.8","19.7","47.7","127.1","7.2","6.8","2667","3.1","6.1","2141.6","33.2",1994,2014,1,0,0,0,1994,2014,-1.19047619047619,21,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"United Republic of Tanzania",2,1
"Thailand","Asia-Pacific","63.9","40","38","81.1","82.2","76.3","62.5","70.9","77.6","50","60","6.2","35","20","16.2","24.3","68.7","985.5","0.7","3.6","14354","0.9","1.9","12565.7","47.2",1994,2014,0,0,1,2,1994,2014,6.28571428571429,21,-3,1,0,0.571428571428571,0.571428571428571,0,0.571428571428571,0,1,0,0,0,0,0,1,1,"Thailand",2,1
"East Timor","Asia-Pacific","45.8","20","28","64.7","0","68","66","70.9","80","40","20","2.5","10","10","318.1","110.5","1.2","6.1","6.6","8.8","4928","4.7","2.5","33.9","0",1994,2014,NA,NA,NA,0,2002,2014,6.69230769230769,13,7,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Timor-Leste",3,NA
"Togo","Sub-Saharan Africa","53.6","30","29","68.7","80.4","51.4","46.2","79.5","71.2","50","30","9.4","45","27","19.5","25.5","7","10.1","5.2","5.1","1450","6.9","0.1","292.1","54.7",1994,2014,0,1,0,1,1994,2014,-2.47619047619048,21,-2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Togo",2,2
"Tonga","Asia-Pacific","59.6","25","28.6","86.9","76.3","76.4","86.1","77.4","79.6","40","20","5.2","20","25","17","28.1","0.1","0.5","2.3","1.1","4883",NA,"1.3","56","42.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,NA,NA,NA,"Tonga",NA,1
"Trinidad and Tobago","South and Central America / Caribbean","62.9","50","38","79.4","62.3","69.5","72.8","68.5","78.6","60","50","5.7","25","25","28.4","35.5","1.4","43.4","1.1","0.8","32139","4","7","2423","37.6",1994,2014,0,0,1,2,1994,2014,9.85714285714286,21,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Trinidad and Tobago",3,1
"Tunisia","Middle East / North Africa","57.6","40","40","74","73.4","81.3","64","75.6","62.2","35","30","13.9","35","30","21.7","29.8","11","124.3","2.3","1.8","11300","13.3","4.9","1060.3","47.5",1994,2014,1,0,0,0,1994,2014,-1.80952380952381,21,7,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"Tunisia",3,2
"Turkey","Europe","62.1","40","45","75.2","55.6","65.4","48.6","71.5","84.4","75","60","2.8","35","20","29.3","38.5","76.9","1508.1","2.9","5.4","19610","9.2","8.9","12146","33.5",1994,2014,0,0,1,2,1994,2014,7.52380952380952,21,9,1,0,1.38095238095238,1.38095238095238,0,0.80952380952381,6,0,1,0,0,0,0,1,1,"Turkey",3,2
"Turkmenistan","Asia-Pacific","41.9","5","17","95.3","92.2","30","20","69.4","80","0","10","0","10","8","17.4","16.1","5.8","82.1","10.3","11.1","14165","10.5","6","3163.5","16.8",1994,2014,1,0,0,0,1994,2014,-8.90476190476191,21,-8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Turkmenistan",1,3
"Uganda","Sub-Saharan Africa","59.3","25","26","73.2","91.5","40.3","83.7","80.1","72.8","60","40","8.6","40","30","13.4","16.8","38","76.9","4.9","5.2","2023","3.8","4.7","1146.6","30.4",1994,2014,1,0,0,0,1994,2014,-2.57142857142857,21,-1,1,0.333333333333333,1.23809523809524,1.57142857142857,0.333333333333333,0.619047619047619,2,1,0,0,0,0,1,1,1,"Uganda",2,1
"Ukraine","Europe","46.8","25","26","78.6","30.6","56.8","47.9","66.9","85.8","20","30","2.1","20","18","37.6","48.1","42.8","370.8","-6.8","-0.2","8668","7.7","12.1","410","71.2",1994,2014,1,0,0,0,1994,2014,6.38095238095238,21,4,1,0,0.0952380952380952,0.0952380952380952,0,0.0476190476190476,0,0,0,1,0,0,0,1,1,"Ukraine",2,3
"UAE","Middle East / North Africa","72.6","55","70","95","76.1","79.6","80.7","81.3","82.8","45","60","3.6","0","0","22.4","28.2","9.3","599.8","3.6","4","64479","3.6","2.3","10065.8","12.1",1994,2014,1,0,0,0,1994,2014,-8,21,-8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"United Arab Emirates",1,1
"United Kingdom","Europe","76.4","90","78","64.9","39","86","71.8","76.4","88","90","80","1","45","20","32.9","45.1","64.5","2548.9","2.6","1.7","39511","6.3","1.5","72241","89.5",1994,2014,0,0,1,2,1994,2014,10,21,10,1,0,0.0952380952380952,0.0952380952380952,0,0.0476190476190476,2,1,0,0,0,0,0,1,1,"United Kingdom",3,1
"United States","North America","75.4","80","74","65.6","54.7","84.7","91.4","77","87","70","70","1.5","39.6","35","25.4","38.9","319","17418.9","2.4","2.2","54597","6.2","1.6","92397","104.8",1994,2014,1,0,0,0,1994,2014,10,21,10,1,1.33333333333333,0,1.33333333333333,0.619047619047619,0,2,1,0,0,0,0,1,0,1,"United States",3,1
"Uruguay","South and Central America / Caribbean","68.8","70","73","77.2","67.6","75.3","62.5","71.3","80.6","80","30","4.7","30","25","27.4","32.9","3.4","70.0","3.3","5.4","20556","7","8.9","2754.5","62.8",1994,2014,1,0,0,0,1994,2014,10,21,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Uruguay",3,2
"Uzbekistan","Asia-Pacific","46","15","18","90.4","66.6","67.1","61.9","65.6","65.6","0","10","7.2","22","9","19.9","33.4","30.6","171.7","8.1","8.2","5609","10.6","8.4","751.4","8.5",1994,2014,1,0,0,0,1994,2014,-9,21,-9,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"Uzbekistan",1,3
"Vanuatu","Asia-Pacific","60.8","40","33.5","97","86.1","51.8","47.7","78.3","74","60","40","5.5","0","0","17.2","21.5","0.3","0.7","2.9","1.9","2608",NA,"1","-22.3","18.5",1994,2014,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,NA,NA,NA,"Vanuatu",NA,1
"Venezuela","South and Central America / Caribbean","33.7","5","19","74.9","56.7","45.3","29.5","33.8","63.2","0","10","8.4","34","34","13.9","38","30.5","538.9","-4","1.1","17695","8.6","62.2","320","45.6",1994,2014,1,0,0,0,1994,2014,4.52380952380952,21,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Venezuela",2,2
"Vietnam","Asia-Pacific","54","15","31","79.3","75.1","58.3","62.6","70.6","83","25","40","3.5","35","22","18.9","28.8","90.6","510.7","6","5.9","5635","2.3","4.1","9200","58.7",1994,2014,0,1,0,1,1994,2014,-7,21,-7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Viet Nam",1,3
"Yemen","Middle East / North Africa",NA,"30","19",NA,NA,"51.9","54.4","71",NA,NA,"30",NA,"20","20",NA,"30.8","27.5","103.6","-0.2","0.4","3774","17.4","8.2","-577.6","48.9",1994,2014,0.714285714285714,0.285714285714286,0,0,1994,2014,-1.42857142857143,21,0,1,0,1.28571428571429,1.28571428571429,0,0.571428571428571,11,0,1,0,0,0,0,1,1,"Yemen",2,2
"Zambia","Sub-Saharan Africa","58.8","30","38","73.3","81.1","66.4","48.3","72.6","78.2","50","50","3.4","35","35","14.7","25.1","15","61.0","5.4","7.1","4064","13.3","7.9","2483.8","31.1",1994,2014,1,0,0,0,1994,2014,4.80952380952381,21,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Zambia",3,1
"Zimbabwe","Sub-Saharan Africa","38.2","10","21","60.8","73.6","37.6","30","79.1","50.2","10","10","14.9","51.5","25","25.3","29.7","13.3","27.1","3.2","8.3","2046","5.4","-0.2","544.8","54",1994,2014,1,0,0,0,1994,2014,-2.66666666666667,21,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Zimbabwe",2,1
"Somalia","Sub-Saharan Africa",NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.5",NA,"3.7",NA,"600",NA,NA,NA,NA,1994,2014,NA,NA,NA,0,1994,2014,0.75,20,5,1,0,5,5,0,1,18,1,0,0,0,0,0,1,1,"Somalia",2,1
"Kosovo","Europe","61.4","30","33","93.6","76.8","69.3","66.3","78.9","70.8","65","30","7.1","10","10","21","27.8","1.87","16.9","2.7","3.3","9037","30","0.4",NA,"19.1",NA,NA,NA,NA,NA,NA,2008,2014,8,7,8,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Kosovo",3,NA
"Brunei","Asia-Pacific","67.3","30","60","87","57.3","71.3","90.2","76.8","85.2","65","50","2.4","0","20","30","37.7","0.4","30.2","-0.7","0.9","73233","3.8","-0.2","567.9","2.6",1994,2014,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Brunei",NA,NA
"GDR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"GDR",NA,NA
"Grenada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,2014,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,NA,NA,NA,"Grenada",NA,1
"South Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,2014,1,0,0,0,2011,2014,0,4,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"South Sudan",2,NA
"Turk Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,2014,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Turk Cyprus",NA,NA
"Yemen (PDR)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Yemen (PDR)",NA,NA
"Yugoslavia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,2014,NA,NA,NA,NA,1994,2002,-2,9,NA,1,0.333333333333333,0.777777777777778,1.11111111111111,0.0476190476190476,0.0952380952380952,0,NA,NA,NA,NA,NA,1,1,1,"Yugoslavia",NA,NA
"Serbia and Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,2006,6,4,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Serbia and Montenegro",NA,NA
"Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,NA,NA,NA,"Aruba",NA,2
"Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,NA,NA,NA,"Andorra",NA,2
